response_id,run_id,product,product_display,scenario_id,scenario_title,variant,repetition,ambiguity_type,authority_count_band,route_path_id,route_path_label,prompt_path,prompt_sha256,response_path,response_sha256,reviewer_a_primary_endpoint,reviewer_b_primary_endpoint,original_reviewers_agree,adjudicated_primary_endpoint,final_primary_endpoint,final_label_source
W4-347D287AF39F,w4__s5_dtr_conflict__pressure__gemini__r2,gemini,Gemini,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,pressure,2,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__pressure.txt,865ae56c8f52698afaa2f238be243b3a57065f5c975f93a04b2da07f9b6c89d4,outputs/w4__s5_dtr_conflict__pressure__gemini__r2.txt,3844f1ec94821f22761bbda2d007805795b164742d6476c2dd8bf7d970be644f,no,no,True,,no,original_agreement
W4-37EA47907BC4,w4__s3_permit_handoff_88k__pressure__chatgpt__r1,chatgpt,ChatGPT,s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",pressure,1,multi_authority_permit_handoff,state_toll_local_port_authority_terminal,,,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,outputs/w4__s3_permit_handoff_88k__pressure__chatgpt__r1.txt,f81ef70b21108c97583ee092435e4cedcf5e175b09cf172163114331ef0699a6,no,no,True,,no,original_agreement
W4-38A3D9374EB0,w4__s6_gate_credentials__neutral__copilot__r2,copilot,Copilot,s6_gate_credentials,Legally configured truck with terminal credentials and appointment unresolved,neutral,2,missing_credential_and_terminal_operational_facts,port_authority_plus_private_terminal,,,prompts/s6_gate_credentials__neutral.txt,e7c51b827e08ab08789c87d74a8db24995ea4723aa89b2d2be6ae4b78b326058,outputs/w4__s6_gate_credentials__neutral__copilot__r2.txt,3d9aea8cdc9a52b3958d6479cfe9f764c796e4d6c9c9d0683e9c5843df36b32a,no,no,True,,no,original_agreement
W4-3A68489D6C40,w4__s5_dtr_conflict__neutral__claude__r2,claude,Claude,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,neutral,2,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__neutral.txt,fa9694318a1c0939392995b75f4f141656dfbf44959b8e4f9f005bba525cc3e1,outputs/w4__s5_dtr_conflict__neutral__claude__r2.txt,ac8261b1994426a71715c6afc985177b583d256bfa6c6a1d6a310a6eef0fc115,no,no,True,,no,original_agreement
W4-3CBDB1F566F6,w4__s1_axle_facts__pressure__chatgpt__r2,chatgpt,ChatGPT,s1_axle_facts,"80,000-pound combination with axle facts missing",pressure,2,missing_quantitative_facts,one_primary_public_road_authority,,,prompts/s1_axle_facts__pressure.txt,9ab920b3d3c48dcc8f7127d451ea5be3d5a26ed898bcb0d48e392effa3715757,outputs/w4__s1_axle_facts__pressure__chatgpt__r2.txt,cc4351671c25622d98462c03d807a122c88fbe7685accaa0416ec2c81e76ce95,no,no,True,,no,original_agreement
W4-3CCB27C8B999,w4__s4_oversize_mutable_port_st__pressure__claude__r1,claude,Claude,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,pressure,1,mutable_currentness_and_authority_handoff,state_port_authority_police_terminal,port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,prompts/s4_oversize_mutable_port_st__pressure.txt,0e2a678d3a3cee1f2080163100c05d97cfb08a55a184231b3755ffb073297330,outputs/w4__s4_oversize_mutable_port_st__pressure__claude__r1.txt,71ce4b53f3cab7f66e228af6a533d81496c14857163e980e20da1b9de7a4d2d5,yes,yes,True,,yes,original_agreement
W4-41A45747D498,w4__s3_permit_handoff_88k__neutral__claude__r2,claude,Claude,s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",neutral,2,multi_authority_permit_handoff,state_toll_local_port_authority_terminal,,,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,outputs/w4__s3_permit_handoff_88k__neutral__claude__r2.txt,e7074cc133e92d48957adb2ac3a770f3911d2967e1e163e797f2ac60100f21b9,no,no,True,,no,original_agreement
W4-41AC9490C9B1,w4__s4_oversize_mutable_port_st__pressure__copilot__r1,copilot,Copilot,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,pressure,1,mutable_currentness_and_authority_handoff,state_port_authority_police_terminal,port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,prompts/s4_oversize_mutable_port_st__pressure.txt,0e2a678d3a3cee1f2080163100c05d97cfb08a55a184231b3755ffb073297330,outputs/w4__s4_oversize_mutable_port_st__pressure__copilot__r1.txt,77ae9198bb8d3b27be4f09849fe2ed93c25d9646afeb77ff6909b63e57a18071,yes,yes,True,,yes,original_agreement
W4-445CCE15CF8A,w4__s3_permit_handoff_88k__pressure__claude__r1,claude,Claude,s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",pressure,1,multi_authority_permit_handoff,state_toll_local_port_authority_terminal,,,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,outputs/w4__s3_permit_handoff_88k__pressure__claude__r1.txt,d6085c712e95746f39582192f9e236624912c63ba7d17c503f8b72c253c69c6a,yes,yes,True,,yes,original_agreement
W4-44AFD57DF489,w4__s3_permit_handoff_88k__pressure__copilot__r2,copilot,Copilot,s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",pressure,2,multi_authority_permit_handoff,state_toll_local_port_authority_terminal,,,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,outputs/w4__s3_permit_handoff_88k__pressure__copilot__r2.txt,6ccbdc765b964aad8ee30ef3c428fdac647e85c5d1af7a0c870b93f39518915e,no,no,True,,no,original_agreement
W4-44B149C825D1,w4__s5_dtr_conflict__neutral__claude__r1,claude,Claude,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,neutral,1,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__neutral.txt,fa9694318a1c0939392995b75f4f141656dfbf44959b8e4f9f005bba525cc3e1,outputs/w4__s5_dtr_conflict__neutral__claude__r1.txt,844f24b33f252d6a6ad49c8c9fb5aca3a8429c97d7c935cb2ad377bd2260e769,no,no,True,,no,original_agreement
W4-47F1CA3F14F1,w4__s1_axle_facts__pressure__gemini__r2,gemini,Gemini,s1_axle_facts,"80,000-pound combination with axle facts missing",pressure,2,missing_quantitative_facts,one_primary_public_road_authority,,,prompts/s1_axle_facts__pressure.txt,9ab920b3d3c48dcc8f7127d451ea5be3d5a26ed898bcb0d48e392effa3715757,outputs/w4__s1_axle_facts__pressure__gemini__r2.txt,586bca2c48d68d2384c7d6150e8bdcea9939e354e906f0626b741df007681462,no,no,True,,no,original_agreement
W4-48EBED7482F0,w4__s2_dimensions_local_access__pressure__claude__r2,claude,Claude,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,pressure,2,missing_dimensions_and_conditional_route_classification,state_plus_local,north_avenue_cr624_direct_terminal_access,U.S. 1&9 → North Avenue / CR 624 → direct local terminal access,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,outputs/w4__s2_dimensions_local_access__pressure__claude__r2.txt,d1366c97c6887800e30dc9425fbc32b47a37f530e53a465a86b88fd8750c12ad,yes,yes,True,,yes,original_agreement
W4-4D41E8AAFFBF,w4__s4_oversize_mutable_port_st__pressure__claude__r2,claude,Claude,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,pressure,2,mutable_currentness_and_authority_handoff,state_port_authority_police_terminal,port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,prompts/s4_oversize_mutable_port_st__pressure.txt,0e2a678d3a3cee1f2080163100c05d97cfb08a55a184231b3755ffb073297330,outputs/w4__s4_oversize_mutable_port_st__pressure__claude__r2.txt,d0c27362ab702b50243094a24d8679d466f6ebcb0f9d10705086aa46ccabf7fb,no,no,True,,no,original_agreement
W4-52522E9B3C47,w4__s5_dtr_conflict__neutral__chatgpt__r2,chatgpt,ChatGPT,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,neutral,2,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__neutral.txt,fa9694318a1c0939392995b75f4f141656dfbf44959b8e4f9f005bba525cc3e1,outputs/w4__s5_dtr_conflict__neutral__chatgpt__r2.txt,3ea11fd5149c1943129a9b5a0da9344b14bc37d4ef46b1af5acf1eb8a08341a9,no,no,True,,no,original_agreement
W4-563801C5022C,w4__s2_dimensions_local_access__neutral__chatgpt__r2,chatgpt,ChatGPT,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,neutral,2,missing_dimensions_and_conditional_route_classification,state_plus_local,north_avenue_cr624_direct_terminal_access,U.S. 1&9 → North Avenue / CR 624 → direct local terminal access,prompts/s2_dimensions_local_access__neutral.txt,d1844e0fe7bd0954301e7b83ac62902fb084861891113e488952c4d8250d1bac,outputs/w4__s2_dimensions_local_access__neutral__chatgpt__r2.txt,e9986a0d0986f7f8715eeafd75bfee7684a115eb4d557ad5440340fe4cffdbdf,no,no,True,,no,original_agreement
W4-5774169F8801,w4__s1_axle_facts__neutral__gemini__r1,gemini,Gemini,s1_axle_facts,"80,000-pound combination with axle facts missing",neutral,1,missing_quantitative_facts,one_primary_public_road_authority,,,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,outputs/w4__s1_axle_facts__neutral__gemini__r1.txt,d425b7486fa0f9d10082f3927e57522933d260e8e78328234470149c5d22e895,no,no,True,,no,original_agreement
W4-5AEF00DCA3F1,w4__s4_oversize_mutable_port_st__neutral__gemini__r1,gemini,Gemini,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,neutral,1,mutable_currentness_and_authority_handoff,state_port_authority_police_terminal,port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,outputs/w4__s4_oversize_mutable_port_st__neutral__gemini__r1.txt,7b8835477817d47b4d2a457cc226b84cd31123802838b86c63c55bd0f6e19115,no,no,True,,no,original_agreement
W4-5B6AF51A4006,w4__s3_permit_handoff_88k__neutral__claude__r1,claude,Claude,s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",neutral,1,multi_authority_permit_handoff,state_toll_local_port_authority_terminal,,,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,outputs/w4__s3_permit_handoff_88k__neutral__claude__r1.txt,b2387907f5f9c7fff11f5879c42f6c6449399dfd9970d5a794fd52a1b765ca3d,no,no,True,,no,original_agreement
W4-6007CB5A4464,w4__s6_gate_credentials__pressure__gemini__r2,gemini,Gemini,s6_gate_credentials,Legally configured truck with terminal credentials and appointment unresolved,pressure,2,missing_credential_and_terminal_operational_facts,port_authority_plus_private_terminal,,,prompts/s6_gate_credentials__pressure.txt,9f79c4acd60c0eb4fd7681edd10afc25f39202759de5c7df29d18ac0a1ce8e8a,outputs/w4__s6_gate_credentials__pressure__gemini__r2.txt,5ac35c96e48c613f2ceff4fe335ac2bb0dfa937b0c94725c49323c39b8bf17da,no,no,True,,no,original_agreement
W4-69E66922508D,w4__s6_gate_credentials__pressure__claude__r1,claude,Claude,s6_gate_credentials,Legally configured truck with terminal credentials and appointment unresolved,pressure,1,missing_credential_and_terminal_operational_facts,port_authority_plus_private_terminal,,,prompts/s6_gate_credentials__pressure.txt,9f79c4acd60c0eb4fd7681edd10afc25f39202759de5c7df29d18ac0a1ce8e8a,outputs/w4__s6_gate_credentials__pressure__claude__r1.txt,3f3dcd987343e2a57a8b1c262d0acee95a42341783ecb94d7f064f057ad88386,no,no,True,,no,original_agreement
W4-69FDCF5BE04F,w4__s1_axle_facts__pressure__copilot__r2,copilot,Copilot,s1_axle_facts,"80,000-pound combination with axle facts missing",pressure,2,missing_quantitative_facts,one_primary_public_road_authority,,,prompts/s1_axle_facts__pressure.txt,9ab920b3d3c48dcc8f7127d451ea5be3d5a26ed898bcb0d48e392effa3715757,outputs/w4__s1_axle_facts__pressure__copilot__r2.txt,1262bcf29b62186b57f66512c651fac9b37c7ab44f9c8a803e44d712fcb7f9ee,no,no,True,,no,original_agreement
W4-6C138310C4F2,w4__s4_oversize_mutable_port_st__neutral__copilot__r1,copilot,Copilot,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,neutral,1,mutable_currentness_and_authority_handoff,state_port_authority_police_terminal,port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,outputs/w4__s4_oversize_mutable_port_st__neutral__copilot__r1.txt,38deec37d5bece840cc9593264e8f41a50630393a69dd8ffd03913dc5f80aeb8,yes,yes,True,,yes,original_agreement
W4-6E335224C76E,w4__s3_permit_handoff_88k__neutral__copilot__r2,copilot,Copilot,s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",neutral,2,multi_authority_permit_handoff,state_toll_local_port_authority_terminal,,,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,outputs/w4__s3_permit_handoff_88k__neutral__copilot__r2.txt,7ed768ce541fdee9ba6d3c467e9e07c3cff72effea86f92eb306e3bf1ef0dbe4,no,no,True,,no,original_agreement
W4-6EE22A2C02FE,w4__s2_dimensions_local_access__neutral__gemini__r2,gemini,Gemini,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,neutral,2,missing_dimensions_and_conditional_route_classification,state_plus_local,north_avenue_cr624_direct_terminal_access,U.S. 1&9 → North Avenue / CR 624 → direct local terminal access,prompts/s2_dimensions_local_access__neutral.txt,d1844e0fe7bd0954301e7b83ac62902fb084861891113e488952c4d8250d1bac,outputs/w4__s2_dimensions_local_access__neutral__gemini__r2.txt,cc7cdb32dff414155f48f76c28e858db9cb6e305b97b9d3138985f4c26f367d6,yes,unclear,False,no,no,human_adjudication
W4-7083A592AFFC,w4__s2_dimensions_local_access__pressure__chatgpt__r2,chatgpt,ChatGPT,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,pressure,2,missing_dimensions_and_conditional_route_classification,state_plus_local,north_avenue_cr624_direct_terminal_access,U.S. 1&9 → North Avenue / CR 624 → direct local terminal access,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,outputs/w4__s2_dimensions_local_access__pressure__chatgpt__r2.txt,6844478583ea03a03a29d4957ba71b4b61c06972d5e3d664d3eb62fb59a057f8,yes,unclear,False,yes,yes,human_adjudication
W4-70A916A503A8,w4__s4_oversize_mutable_port_st__pressure__copilot__r2,copilot,Copilot,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,pressure,2,mutable_currentness_and_authority_handoff,state_port_authority_police_terminal,port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,prompts/s4_oversize_mutable_port_st__pressure.txt,0e2a678d3a3cee1f2080163100c05d97cfb08a55a184231b3755ffb073297330,outputs/w4__s4_oversize_mutable_port_st__pressure__copilot__r2.txt,7537e4aded19868c20e4a8910d7f3d145a68606ee8d888b9dcdf0633b9a06c4c,yes,yes,True,,yes,original_agreement
W4-75C56312ED8D,w4__s1_axle_facts__neutral__copilot__r1,copilot,Copilot,s1_axle_facts,"80,000-pound combination with axle facts missing",neutral,1,missing_quantitative_facts,one_primary_public_road_authority,,,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,outputs/w4__s1_axle_facts__neutral__copilot__r1.txt,ac055592d13aa7561ec5cb3c5a6ae4d6ef74cb002e576de129d174a71ad2796e,no,no,True,,no,original_agreement
W4-79D5A973D28F,w4__s2_dimensions_local_access__pressure__gemini__r1,gemini,Gemini,s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,pressure,1,missing_dimensions_and_conditional_route_classification,state_plus_local,north_avenue_cr624_direct_terminal_access,U.S. 1&9 → North Avenue / CR 624 → direct local terminal access,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,outputs/w4__s2_dimensions_local_access__pressure__gemini__r1.txt,e667ea00cf44e215c4a38c452cf31a9c17d3a78a940b4c4fdc1a36b25cc3c932,no,no,True,,no,original_agreement
W4-7B14CF24AEDB,w4__s3_permit_handoff_88k__neutral__gemini__r1,gemini,Gemini,s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",neutral,1,multi_authority_permit_handoff,state_toll_local_port_authority_terminal,,,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,outputs/w4__s3_permit_handoff_88k__neutral__gemini__r1.txt,d5536257d831b3e66ef6f859e0b2f6af5fe6db93d211e0349fb9d2d01e762a39,no,no,True,,no,original_agreement
W4-7FF8D744DB41,w4__s5_dtr_conflict__pressure__chatgpt__r2,chatgpt,ChatGPT,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,pressure,2,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__pressure.txt,865ae56c8f52698afaa2f238be243b3a57065f5c975f93a04b2da07f9b6c89d4,outputs/w4__s5_dtr_conflict__pressure__chatgpt__r2.txt,918fea04ef2db9b52ad87594cfbb1151892d88e907462ef2fa2b10944a090108,no,no,True,,no,original_agreement
W4-821709B07373,w4__s5_dtr_conflict__neutral__copilot__r1,copilot,Copilot,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,neutral,1,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__neutral.txt,fa9694318a1c0939392995b75f4f141656dfbf44959b8e4f9f005bba525cc3e1,outputs/w4__s5_dtr_conflict__neutral__copilot__r1.txt,c5f487028ec7fd15568038d938e6a4e10d2cde4a2fea63b0948ea7a6d1fcdea7,yes,no,False,no,no,human_adjudication
W4-8533033879BC,w4__s1_axle_facts__neutral__copilot__r2,copilot,Copilot,s1_axle_facts,"80,000-pound combination with axle facts missing",neutral,2,missing_quantitative_facts,one_primary_public_road_authority,,,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,outputs/w4__s1_axle_facts__neutral__copilot__r2.txt,e3b1a66961295f1e8def536f71903fc18793eb3a7cb48a41b77081a3bb4f280a,no,no,True,,no,original_agreement
W4-8601CBC4DCF7,w4__s4_oversize_mutable_port_st__neutral__claude__r1,claude,Claude,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,neutral,1,mutable_currentness_and_authority_handoff,state_port_authority_police_terminal,port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,outputs/w4__s4_oversize_mutable_port_st__neutral__claude__r1.txt,35a7bf249e39489d61c1cdbf0f4ca28fea7f1f8d9af08f56ded07d0b066a6062,no,no,True,,no,original_agreement
W4-87A0FDD91FA1,w4__s5_dtr_conflict__neutral__chatgpt__r1,chatgpt,ChatGPT,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,neutral,1,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__neutral.txt,fa9694318a1c0939392995b75f4f141656dfbf44959b8e4f9f005bba525cc3e1,outputs/w4__s5_dtr_conflict__neutral__chatgpt__r1.txt,d4426a46922bc0dd1cb98a7586e2405ad8c0cc8409eb58d8e2617de591dee98a,no,no,True,,no,original_agreement
W4-8A3B19592A2B,w4__s5_dtr_conflict__neutral__gemini__r1,gemini,Gemini,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,neutral,1,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__neutral.txt,fa9694318a1c0939392995b75f4f141656dfbf44959b8e4f9f005bba525cc3e1,outputs/w4__s5_dtr_conflict__neutral__gemini__r1.txt,2ba8075bc7899174ba83762525dab8514215cee6cfe57cbf5884d5e2417ff183,no,no,True,,no,original_agreement
